ADDRESS,SUBURB,PRICE,BEDROOMS,BATHROOMS,GARAGE,LAND_AREA,FLOOR_AREA,BUILD_YEAR,CBD_DIST,NEAREST_STN,NEAREST_STN_DIST,DATE_SOLD,POSTCODE,LATITUDE,LONGITUDE,NEAREST_SCH,NEAREST_SCH_DIST,NEAREST_SCH_RANK
10 Doherty Road,Coolbellup,599000,4,2,2,1011,158,NULL,14600,Murdoch Station,3500,"09-2016
",6163,-32.07785,115.81544,NORTH LAKE SENIOR CAMPUS,0.5094335181485182,
10 Domain Court,Greenmount,410000,4,1,1,709,132,1989,18200,Midland Station,3700,"06-2020
",6056,-31.89651853,116.0394502,SWAN VIEW SENIOR HIGH SCHOOL,1.1061289452703635,
10 Domeney Place,Landsdale,455000,4,2,2,600,161,2000,16600,Whitfords Station,7200,"02-2020
",6065,-31.80282,115.85833,LANDSDALE CHRISTIAN SCHOOL,0.9454773544394001,
10 Donnelly Link,Jane Brook,545000,3,2,2,694,210,2003,20900,Midland Station,6000,"08-2018
",6056,-31.859652,116.051684,SWAN VIEW SENIOR HIGH SCHOOL,3.1721788594883735,
10 Doriemus Road,Baldivis,692500,3,3,NULL,609,269,2015,43200,Warnbro Station,4900,"10-2020
",6171,-32.33901884,115.8181152,BALDIVIS SECONDARY COLLEGE,1.1122021380241742,134
10 Dorney Esplanade,Champion Lakes,250000,4,2,2,413,170,2015,21900,Kelmscott Station,2000,"03-2014
",6111,-32.11350433,115.9932837,JOHN WOLLASTON ANGLICAN COMMUNITY SCHOOL,1.683051173372785,40
10 Dowlan Way,Ellenbrook,385000,4,2,4,552,184,2008,23600,East Guildford Station,14800,"10-2019
",6069,-31.763571,115.972116,HOLY CROSS COLLEGE,1.071929642443253,98
10 Drummore Elbow,Stratton,295000,4,2,1,537,140,NULL,19300,Midland Station,4400,"10-2019
",6056,-31.86517,116.0363,SWAN CHRISTIAN COLLEGE,2.441358535269611,93
10 Dublin Road,Darch,570000,4,2,2,576,192,2006,16300,Whitfords Station,5300,"11-2016
",6065,-31.80664726,115.8376134,KINGSWAY CHRISTIAN COLLEGE,0.5475972768982708,50
10 Duff Place,Booragoon,860000,4,3,2,696,206,1975,10500,Bull Creek Station,1600,"11-2017
",6154,-32.04466,115.83797,CORPUS CHRISTI COLLEGE,1.4488956427810329,28
10 Dumsday Drive,Forrestdale,275000,4,2,2,794,234,NULL,23100,Armadale Station,7100,"08-2013
",6112,-32.14837046,115.9380166,CAREY BAPTIST COLLEGE,4.097542224060474,62
10 Dunmore Crescent,Harrisdale,532500,4,2,4,375,239,NULL,20500,Cockburn Central Station,6900,"04-2019
",6112,-32.1252829,115.931659,CAREY BAPTIST COLLEGE,1.5662078498371612,62
10 Durrington Glade,Clarkson,375000,4,2,2,564,137,NULL,32800,Clarkson Station,1900,"08-2018
",6030,-31.68258,115.71989,CLARKSON COMMUNITY HIGH SCHOOL,0.8631309904252026,
10 Dusenberg Mews,Atwell,572500,4,2,3,768,176,1995,20600,Cockburn Central Station,1400,"08-2018
",6164,-32.13644,115.86404,ATWELL COLLEGE,0.8361545074605494,129
10 Duyfken Road,Jindalee,384000,3,2,2,270,140,2009,36900,Butler Station,1800,"12-2016
",6036,-31.65093472,115.6962853,BUTLER COLLEGE,1.1783534582840227,39
10 Eastbourne Street,Mosman Park,1317500,4,2,2,516,191,1920,11500,Vic,380,"01-2019
",6012,-32.0117,115.75914,IONA PRESENTATION COLLEGE,0.8841760366714692,17
10 Edmund Way,Calista,250000,3,1,NULL,809,106,1965,33600,Wellard Station,1900,"02-2018
",6167,-32.25057,115.80413,PETER CARNLEY ANGLICAN COMMUNITY SCHOOL,1.2478979009247615,
10 Eildon Court,South Lake,472000,5,2,2,700,183,1989,17200,Cockburn Central Station,2500,"05-2017
",6164,-32.10587,115.84552,LAKELAND SENIOR HIGH SCHOOL,0.3562191428348289,
10 Elbury Court,Kingsley,507000,3,1,3,700,146,1980,16600,Greenwood Station,1200,"09-2019
",6026,-31.81338,115.79504,THE MONTESSORI SCHOOL,1.2101442410765415,
10 Elder Way,Bellevue,435000,3,1,6,700,120,1982,17500,Midland Station,3600,"07-2016
",6056,-31.90449933,116.0357307,SWAN VIEW SENIOR HIGH SCHOOL,2.060062445018947,
10 Eldon Close,Merriwa,380000,4,2,2,623,135,1993,34600,Butler Station,3700,"04-2015
",6030,-31.66686,115.71322,ALKIMOS BAPTIST COLLEGE,0.7815139541782223,
10 Ellerby Way,Koondoola,435000,2,1,1,771,140,1976,12100,Warwick Station,5700,"02-2015
",6064,-31.84322,115.85667,MERCY COLLEGE,0.45610344393270463,46
10 Emperor Approach,Success,550000,4,2,2,569,172,2008,22800,Cockburn Central Station,3600,"04-2018
",6164,-32.157059,115.849746,ATWELL COLLEGE,1.990710102277893,129
10 Emu Court,High Wycombe,365000,4,2,1,710,119,1989,14600,Midland Station,6000,"10-2019
",6057,-31.94448,116.0136,DARLING RANGE SPORTS COLLEGE,3.477843969729955,137
10 Ennis Court,Orelia,212000,3,1,2,734,95,1965,31700,Kwinana Station,990,"08-2016
",6167,-32.23593,115.83208,GILMORE COLLEGE,1.646117235437249,138
10 Ensign Dale,Kelmscott,500000,4,2,2,651,241,2005,23400,Kelmscott Station,736,"06-2020
",6111,-32.11119,116.02073,JOHN WOLLASTON ANGLICAN COMMUNITY SCHOOL,1.4118166389030944,40
10 Erlon Way,Harrisdale,406500,3,2,4,364,143,2011,21100,Cockburn Central Station,6600,"05-2019
",6112,-32.13284446,115.9280215,CAREY BAPTIST COLLEGE,2.4678374705027677,62
10 Erodium Place,Parkwood,460000,3,1,2,710,136,NULL,10900,Thornlie Station,3900,"10-2019
",6147,-32.03935,115.91214,LYNWOOD SENIOR HIGH SCHOOL,0.4717262188308391,96
10 Essington Street,Huntingdale,405000,4,1,1,710,135,1975,16900,Gosnells Station,3300,"02-2018
",6110,-32.07504,115.96478,THORNLIE SENIOR HIGH SCHOOL,1.08850710634532,125
10 Ethel Street,Guildford,1160000,5,2,4,488,275,1910,11800,Guildford Station,232,"12-2017
",6055,-31.9002933,115.9677292,GUILDFORD GRAMMAR SCHOOL,1.5077074255855947,52
10 Etna Place,Rossmoyne,1895000,4,2,2,999,357,2006,9000,Bull Creek Station,2300,"10-2013
",6148,-32.032445,115.871943,AQUINAS COLLEGE,1.1872369910683895,23
10 Ewart Street,Midvale,235000,2,1,1,526,94,1920,16800,Midland Station,2000,"09-2019
",6056,-31.89195,116.0223,YOUTH FUTURES COMMUNITY SCHOOL,1.4739371269174741,
10 Excelsior Meander,Warnbro,300000,4,2,2,540,129,NULL,44800,Warnbro Station,2300,"03-2018
",6169,-32.3472,115.76641,WARNBRO COMMUNITY HIGH SCHOOL,0.7107947741061799,
10 Eyebright Court,Huntingdale,511250,4,2,4,599,151,1999,17200,Thornlie Station,4000,"09-2016
",6110,-32.08277,115.95622,THORNLIE SENIOR HIGH SCHOOL,1.8627188041032514,125
10 Fagan Street,Yokine,505000,3,1,2,374,124,1963,6700,Stirling Station,3500,"10-2018
",6060,-31.89408,115.84196,SERVITE COLLEGE,1.239890624010347,65
10 Fairview Street,Coogee,870000,4,3,NULL,719,305,1989,19800,Fremantle Station,7100,"03-2020
",6166,-32.11291,115.76895,PORT SCHOOL,3.4402444252598894,
10 Fairywren Drive,Bennett Springs,455000,4,2,NULL,457,155,2004,12400,Ashfield Station,5900,"03-2017
",6063,-31.86018281,115.9318754,KIARA COLLEGE,1.9445761163079682,
10 Falkirk Avenue,Maylands,810000,2,1,NULL,936,100,1915,4500,Meltham Station,1000,"09-2020
",6051,-31.93144,115.89922,CHISHOLM CATHOLIC COLLEGE,2.220157055424722,29
10 Fantail Avenue,Gwelup,960000,4,2,2,519,264,2003,11500,Warwick Station,2400,"05-2018
",6018,-31.86588,115.79274,BALCATTA SENIOR HIGH SCHOOL,2.1314326358342868,135
10 Fantail Drive,Bibra Lake,595142,4,2,2,702,145,1985,17100,Cockburn Central Station,3800,"08-2016
",6163,-32.10349,115.82786,PERTH WALDORF SCHOOL,1.582303775694979,
10 Fantail Way,Huntingdale,375000,4,2,1,615,128,1994,17500,Thornlie Station,4000,"08-2020
",6110,-32.08153,115.96379,SOUTHERN RIVER COLLEGE,1.58584449517724,121
10 Farrier Terrace,Henley Brook,472000,4,2,2,554,214,2003,20500,East Guildford Station,11000,"03-2013
",6055,-31.79778,115.97653,SWAN VALLEY ANGLICAN COMMUNITY SCHOOL,0.92593869735418,53
10 Farringdon Way,Huntingdale,375000,3,1,NULL,685,130,1973,17200,Gosnells Station,2600,"11-2017
",6110,-32.07327,115.97214,THORNLIE SENIOR HIGH SCHOOL,1.4117734165311828,125
10 Fawn Way,Eglinton,412000,3,2,2,313,137,2014,43600,Butler Station,5400,"06-2015
",6034,-31.59707035,115.6646405,YANCHEP SECONDARY COLLEGE,5.347180306496387,
10 Feldman Crescent,Parkerville,575000,4,2,NULL,1999,180,1985,28100,Midland Station,13500,"01-2020
",6081,-31.87744,116.14248,MUNDARING CHRISTIAN COLLEGE,4.280936497644497,
10 Field View,Bullsbrook,345000,4,2,2,722,200,NULL,36400,Midland Station,25700,"06-2019
",6084,-31.66255216,116.037313,HOLY CROSS COLLEGE,13.684504403831331,98
10 Fielder Road,Serpentine,680000,4,2,2,4340,196,2003,48600,Warnbro Station,20200,"10-2018
",6125,-32.37782,115.97374,COURT GRAMMAR SCHOOL,12.143239656793282,
10 Finchley Terrace,Joondalup,550000,3,2,2,347,164,1998,25900,Joondalup Station,1400,"04-2019
",6027,-31.73264718,115.7691689,LAKE JOONDALUP BAPTIST COLLEGE,0.9086499788900161,80
10 Finlay Court,Rivervale,520000,3,2,2,350,197,2000,6100,Vic,2000,"01-2019
",6103,-31.96498,115.92228,BELMONT CITY COLLEGE,1.3319965293245986,57
10 Finsbury Grove,Mount Claremont,1525000,4,2,2,680,261,1995,7700,Claremont Station,2200,"11-2016
",6010,-31.96067,115.77747,JOHN XXIII COLLEGE,0.6966397647564245,8
10 Fintry Close,Kinross,480000,4,2,2,706,165,1992,28100,Currambine Station,1600,"11-2018
",6028,-31.72316,115.73401,LAKE JOONDALUP BAPTIST COLLEGE,3.0429936590732045,80
10 Fionn Court,Ardross,950000,4,2,1,728,205,NULL,8600,Bull Creek Station,2500,"07-2016
",6153,-32.02801,115.84097,APPLECROSS SENIOR HIGH SCHOOL,0.5749172983820925,34
10 Firefalls Close,Huntingdale,440000,4,2,2,544,113,1994,17000,Thornlie Station,3700,"07-2016
",6110,-32.08006,115.9578,THORNLIE SENIOR HIGH SCHOOL,1.5429553239329044,125
10 Flannan Place,Warwick,852500,5,3,2,734,401,1988,14000,Warwick Station,835,"11-2017
",6024,-31.83734,115.79794,GREENWOOD COLLEGE,1.374381773444131,86
10 Fleetwood Link,Ellenbrook,370000,4,2,2,420,155,2007,23200,East Guildford Station,14100,"12-2020
",6069,-31.76983088,115.9773284,HOLY CROSS COLLEGE,0.4912178121682751,98
10 Fletcher Street,Applecross,875000,2,1,1,464,125,1952,7600,Canning Bridge Station,2300,"02-2019
",6153,-32.01734,115.83377,APPLECROSS SENIOR HIGH SCHOOL,1.3445371252716385,34
10 Folland Parade,Atwell,430000,4,2,2,600,154,NULL,20700,Cockburn Central Station,1800,"02-2019
",6164,-32.13839,115.86928,ATWELL COLLEGE,0.7856129198178027,129
10 Fortview Road,Mount Claremont,1775000,3,2,6,877,238,1960,8200,Swanbourne Station,2300,"08-2018
",6010,-31.96185546,115.7727906,JOHN XXIII COLLEGE,1.1534861653683433,8
10 Fourth Avenue,Rossmoyne,1423888,3,1,NULL,814,257,1966,9500,Bull Creek Station,1900,"08-2017
",6148,-32.0368,115.87063,ROSSMOYNE SENIOR HIGH SCHOOL,1.0527892312027345,16
10 Frederic Street,Midland,565000,3,1,NULL,1090,155,1915,15500,Midland Station,749,"05-2016
",6056,-31.88505,116.00288,LA SALLE COLLEGE,0.7351543617775746,53
10 Friarbird Terrace,Beeliar,550000,4,2,2,512,181,2006,20700,Cockburn Central Station,4400,"09-2017
",6164,-32.13439,115.812822,DIVINE MERCY COLLEGE,1.586735772219747,
10 Gaffin Way,Kwinana Town Centre,162100,3,2,NULL,203,103,2015,32600,Wellard Station,2400,"07-2013
",6167,-32.24243868,115.8147429,GILMORE COLLEGE,0.4641609404723689,138
10 Gairloch Place,Joondalup,620000,3,2,1,803,215,1990,27000,Currambine Station,778,"09-2020
",6027,-31.72463,115.75871,LAKE JOONDALUP BAPTIST COLLEGE,1.4515813313899342,80
10 Galahad Way,Carine,645000,4,1,NULL,692,111,1976,12600,Warwick Station,879,"07-2016
",6020,-31.8525809,115.7955692,CARINE SENIOR HIGH SCHOOL,1.8638252752830007,47
10 gallipoli street,Lathlain,505000,3,2,2,577,115,1939,4600,Vic,175,"11-2014
",6100,-31.97001793,115.9026325,URSULA FRAYNE CATHOLIC COLLEGE,0.4730123713952131,41
10 Gatton Way,Embleton,470000,3,2,2,736,93,1966,7800,Bayswater Station,1900,"01-2017
",6062,-31.90024568,115.9148559,JOHN FORREST SECONDARY COLLEGE,1.388916249263895,74
10 Gausson Turn,Ashby,393000,4,2,2,524,154,2003,25000,Joondalup Station,2900,"12-2019
",6065,-31.7343265,115.7955863,WANNEROO SECONDARY COLLEGE,3.2062684755474264,131
10 Gemini Rise,Ocean Reef,957000,5,2,2,824,314,1989,23100,Edgewater Station,3200,"05-2017
",6027,-31.76899,115.74461,OCEAN REEF SENIOR HIGH SCHOOL,1.2526323625615148,83
10 Geoff Russell Avenue,Kinross,550000,4,2,2,686,214,NULL,28700,Currambine Station,1700,"12-2018
",6028,-31.71668,115.73536,YOUTH FUTURES COMMUNITY SCHOOL,3.201510076029923,
10 Georgetown Drive,Safety Bay,370000,3,1,2,681,105,1989,40700,Rockingham Station,2800,"04-2018
",6169,-32.3023,115.73493,SAFETY BAY SENIOR HIGH SCHOOL,0.5778043868882765,136
10 Gifford Mews,Currambine,668000,4,2,2,701,221,1997,25700,Currambine Station,1600,"05-2017
",6028,-31.73906,115.7547,LAKE JOONDALUP BAPTIST COLLEGE,0.6597345209399124,80
10 Gilbreth Bend,Tapping,535000,4,2,2,572,237,2006,26600,Currambine Station,5000,"11-2020
",6065,-31.71787806,115.8021496,JOSEPH BANKS SECONDARY COLLEGE,2.1998586725380997,92
10 Giles Avenue,Padbury,380000,3,1,1,705,124,1976,18800,Whitfords Station,2500,"05-2020
",6025,-31.80644,115.7576,ST MARK'S ANGLICAN COMMUNITY SCHOOL,1.6494254689798316,58
10 GLADALAN Way,Piara Waters,500000,4,2,4,570,192,2015,21700,Cockburn Central Station,5800,"03-2019
",6112,-32.14063267,115.9171737,CAREY BAPTIST COLLEGE,3.664469109129649,62
10 Glen Iris Drive,Jandakot,1200000,5,2,2,1066,307,1997,16400,Cockburn Central Station,2900,"10-2013
",6164,-32.09939,115.85391,LAKELAND SENIOR HIGH SCHOOL,1.3127741049409278,
10 Glenallen Way,Ellenbrook,360000,4,2,2,552,222,2005,23000,East Guildford Station,14100,"04-2020
",6069,-31.770091,115.972899,HOLY CROSS COLLEGE,0.34580122589908774,98
10 Glenbawn Drive,South Lake,422500,3,1,1,702,101,1984,17500,Cockburn Central Station,2900,"12-2015
",6164,-32.10838,115.83447,LAKELAND SENIOR HIGH SCHOOL,1.0807943913121865,
10 Glencoe Place,Bedfordale,650000,4,2,2,3271,197,2011,30400,Armadale Station,4600,"12-2019
",6112,-32.16481842,116.0603064,SOUTHERN HILLS CHRISTIAN COLLEGE,2.186672223303599,
10 Glenfine Way,Carramar,473200,4,2,2,678,221,2004,27800,Currambine Station,3100,"08-2019
",6031,-31.71128,115.77932,JOSEPH BANKS SECONDARY COLLEGE,2.1534127760907786,92
10 Glenten Way,Ferndale,545000,4,2,1,688,155,1978,10900,Queens Park Station,2700,"09-2020
",6148,-32.02996,115.92982,FOUNTAIN COLLEGE,1.1757219034143684,
10 Glenwood Avenue,Helena Valley,545000,4,1,1,2010,115,1969,18100,Midland Station,5000,"03-2016
",6056,-31.91627,116.04522,TREETOPS MONTESSORI SCHOOL,2.7704263118605517,
10 Godin Court,Churchlands,1650000,5,4,6,1225,416,1986,7700,Glendalough Station,3500,"10-2017
",6018,-31.91965,115.78654,NEWMAN COLLEGE,0.4018364509035071,44
10 Goldfinch Bend,Harrisdale,471000,4,2,2,420,220,2010,20000,Cockburn Central Station,6400,"10-2018
",6112,-32.12268001,115.9261395,CAREY BAPTIST COLLEGE,1.5185053092958303,62
10 Goshawk Place,Huntingdale,385000,4,2,2,707,139,1992,18000,Seaforth Station,4200,"10-2017
",6110,-32.08493,115.9669,SOUTHERN RIVER COLLEGE,1.2290665597235633,121
10 Grace Pass,Bennett Springs,630000,4,2,2,544,231,2006,12500,Ashfield Station,6100,"07-2014
",6063,-31.858491,115.9314922,KIARA COLLEGE,2.136112700100735,
10 Granada Loop,Seville Grove,350000,4,2,2,660,202,2006,24200,Sherwood Station,1900,"08-2017
",6112,-32.138617,115.989919,CECIL ANDREWS COLLEGE,0.34053501207622183,139
10 Grand Boulevard,Canning Vale,575000,4,2,NULL,770,186,1995,16300,Thornlie Station,5600,"06-2020
",6155,-32.08936,115.92051,CANNING VALE COLLEGE,0.7478573543868383,68
10 Graydon Grove,Leda,285000,3,1,5,700,88,1994,34700,Wellard Station,783,"05-2014
",6170,-32.26157,115.80925,PETER CARNLEY ANGLICAN COMMUNITY SCHOOL,0.7284959308068937,
10 Greenville Street,Swanbourne,1352000,3,2,NULL,474,213,1997,9200,Swanbourne Station,908,"05-2020
",6010,-31.97573,115.76591,SCOTCH COLLEGE,0.9130093942995581,24
10 Greta Court,Cooloongup,310000,3,1,2,716,120,1984,40200,Rockingham Station,1500,"09-2017
",6168,-32.3023,115.75357,SAFETY BAY SENIOR HIGH SCHOOL,1.190213781067163,136
10 Guernsey Court,Stratton,320000,4,2,8,637,149,1995,20100,Midland Station,5100,"10-2018
",6056,-31.86534,116.04537,SWAN VIEW SENIOR HIGH SCHOOL,2.464538978397834,
10 Gulli Court,Mount Claremont,1850000,4,3,3,582,525,2005,7800,Claremont Station,2700,"09-2018
",6010,-31.9566476,115.7767218,JOHN XXIII COLLEGE,0.844631178004321,8
10 Gwynne Corner,Jane Brook,630000,4,2,3,781,231,2001,20800,Midland Station,5800,"05-2016
",6056,-31.86134,116.05078,SWAN VIEW SENIOR HIGH SCHOOL,2.9705851434385266,
10 Halse Place,Karrinyup,1120000,5,1,NULL,948,297,2011,12600,Warwick Station,2900,"02-2020
",6018,-31.86387388,115.7749976,CARINE SENIOR HIGH SCHOOL,1.2124591264402502,47
10 Hampshire Drive,Jindalee,670000,5,2,2,715,264,2010,36700,Butler Station,1900,"05-2016
",6036,-31.6523904,115.6976219,BUTLER COLLEGE,1.052105990046437,39
10 Harden Park Trail,Carramar,345000,3,2,2,367,146,NULL,28300,Currambine Station,4800,"08-2020
",6031,-31.70401776,115.7947132,JOSEPH BANKS SECONDARY COLLEGE,0.6203701025670472,92
10 Harley Terrace,Mosman Park,1250000,4,2,2,683,162,1970,11500,Vic,949,"09-2017
",6012,-32.01641,115.76339,IONA PRESENTATION COLLEGE,0.9679227620019962,17
10 Harmony Avenue,Clarkson,370000,4,2,2,546,200,2006,32600,Clarkson Station,1400,"01-2019
",6030,-31.68111,115.72813,CLARKSON COMMUNITY HIGH SCHOOL,0.4286723577277484,
10 Harrison Way,Calista,280000,3,1,2,809,92,NULL,33400,Wellard Station,2000,"12-2010
",6167,-32.24896,115.80476,PETER CARNLEY ANGLICAN COMMUNITY SCHOOL,1.3163931648884766,
10 Harwood Street,Hilton,740250,3,2,3,810,175,1955,14300,Fremantle Station,4100,"05-2017
",6163,-32.06475,115.78533,SETON CATHOLIC COLLEGE,1.1642278197849931,91
10 Hayward Parade,Coogee,740000,4,2,2,706,200,1995,20100,Fremantle Station,7600,"06-2020
",6166,-32.11673,115.77168,PORT SCHOOL,3.802197960094232,
10 Hayward Road,Martin,870000,4,2,3,12076,200,2001,19200,Gosnells Station,1900,"06-2008
",6110,-32.06075344,116.0158878,LUMEN CHRISTI COLLEGE,0.8220673383588072,122
10 Hazelmere Crescent,Hazelmere,390000,3,1,NULL,1401,192,1948,13800,Woodbridge Station,1200,"05-2006
",6055,-31.90250226,115.9926445,GUILDFORD GRAMMAR SCHOOL,1.384851389154367,52
10 Heard Way,Glendalough,1100000,5,2,4,804,234,NULL,5100,Glendalough Station,871,"05-2015
",6016,-31.92160232,115.818721,BOLD PARK COMMUNITY SCHOOL,0.4894598076699011,
10 Heathland Terrace,Ellenbrook,300000,3,2,2,405,142,2007,23100,East Guildford Station,14200,"05-2020
",6069,-31.76864707,115.9737536,HOLY CROSS COLLEGE,0.49502049155881,98
10 Helena Street,Guildford,630000,4,1,3,920,181,1975,12700,East Guildford Station,539,"04-2016
",6055,-31.90108,115.97916,GUILDFORD GRAMMAR SCHOOL,0.8248859807119955,52
10 Henderson Road,Stoneville,505000,4,2,5,2078,140,1980,30400,Midland Station,16000,"08-2015
",6081,-31.88132,116.17011,MUNDARING CHRISTIAN COLLEGE,2.157611730819402,
10 Hendy Green,Murdoch,720000,4,2,2,705,199,1988,12200,Murdoch Station,1800,"04-2017
",6150,-32.05993,115.8325,CORPUS CHRISTI COLLEGE,1.0337739775803743,28
10 Hennessy Drive,Ashby,590000,4,2,2,620,202,2005,24900,Joondalup Station,3200,"06-2014
",6065,-31.73420664,115.79858,WANNEROO SECONDARY COLLEGE,3.063209368461424,131
10 Henniker Way,Koondoola,340000,3,1,3,692,104,1970,12200,Warwick Station,6800,"04-2017
",6064,-31.84306,115.86824,MERCY COLLEGE,1.1120798577291384,46
10 Henty Grove,Helena Valley,450000,3,2,2,280,88,2015,16900,Midland Station,4500,"09-2020
",6056,-31.9210256,116.033895,TREETOPS MONTESSORI SCHOOL,3.8095646545805155,
10 Hepworth Way,Noranda,612500,4,2,2,700,241,1979,8700,Maylands Station,5600,"05-2017
",6062,-31.87767,115.88669,MORLEY SENIOR HIGH SCHOOL,0.5241688686184284,100
10 Heritage Terrace,Gnangara,445000,4,2,NULL,10499,250,1994,19400,Edgewater Station,8600,"08-2003
",6077,-31.77777,115.86965,LANDSDALE CHRISTIAN SCHOOL,3.2362642378997895,
10 Heywood Lane,North Coogee,945000,4,3,2,220,203,2011,17200,Fremantle Station,3100,"12-2019
",6163,-32.07877819,115.7553287,FREMANTLE COLLEGE,1.6980057091271132,128
10 Hibiscus Court,Churchlands,1430000,4,2,2,801,232,1988,7400,Glendalough Station,3000,"11-2015
",6018,-31.91771,115.79138,CHURCHLANDS SENIOR HIGH SCHOOL,0.1392951747724077,22
10 Hillcrest Court,Port Kennedy,225000,4,2,2,484,121,1996,46600,Warnbro Station,4100,"04-2019
",6172,-32.36176,115.75431,WARNBRO COMMUNITY HIGH SCHOOL,1.8562050593755461,
10 Hindmarsh Way,Edgewater,628000,4,2,2,776,208,2002,23300,Edgewater Station,2000,"03-2019
",6027,-31.75406,115.77888,MATER DEI COLLEGE,1.2000256758884864,104
10 Hindoo Elbow,Stratton,326000,3,1,1,490,96,NULL,19500,Midland Station,4500,"07-2016
",6056,-31.86758,116.03919,SWAN VIEW SENIOR HIGH SCHOOL,2.26613767098899,
10 Hodge Court,Marmion,862000,4,2,2,726,192,1978,15300,Warwick Station,3400,"03-2015
",6020,-31.84316,115.7601,CARINE SENIOR HIGH SCHOOL,1.8469535358763736,47
10 Hodges Street,Middle Swan,344000,3,2,1,248,90,2002,17100,Midland Station,2400,"04-2013
",6056,-31.873867,116.015225,LA SALLE COLLEGE,1.1475905653345917,53
10 Hodgson Street,Tuart Hill,689000,3,1,NULL,809,161,2014,5800,Glendalough Station,1300,"10-2020
",6060,-31.90538698,115.8320038,SERVITE COLLEGE,0.33606622183534346,65
10 Hodnet Bend,The Vines,540000,4,2,2,900,223,2010,24400,Woodbridge Station,14400,"11-2018
",6069,-31.76233664,115.9876106,HOLY CROSS COLLEGE,1.7692642476388747,98
10 Hogg Avenue,Salter Point,1225000,4,2,2,450,291,2003,7500,Canning Bridge Station,1100,"11-2018
",6152,-32.01948,115.86007,AQUINAS COLLEGE,0.7614458052198316,23
10 Hollingsworth Avenue,Koondoola,396000,4,1,2,729,162,1977,12200,Warwick Station,6000,"08-2013
",6064,-31.84306,115.86029,MERCY COLLEGE,0.5330432408519398,46
10 Hollister Way,Noranda,665000,4,2,2,700,302,1979,8900,Mount Lawley Station,6700,"04-2019
",6062,-31.87425,115.88113,MORLEY SENIOR HIGH SCHOOL,0.2470680459752353,100
10 Hope Crescent,Lesmurdie,815000,3,2,4,2413,192,1958,19200,Madding,9700,"10-2020
",6076,-31.98933,116.0578,ST BRIGID'S COLLEGE,0.9756660868157262,99
10 Horner Way,Herne Hill,405000,3,1,2,809,123,1972,20800,Midland Station,7500,"01-2010
",6056,-31.82667,116.02243,SWAN CHRISTIAN COLLEGE,3.6606882720165275,93
10 Horrocks Road,Booragoon,595000,3,1,1,405,100,1962,9800,Bull Creek Station,3200,"10-2018
",6154,-32.03497,115.82362,APPLECROSS SENIOR HIGH SCHOOL,1.2477742699175132,34
10 Horslay Way,Noranda,585000,4,2,2,701,205,1981,9400,Meltham Station,5000,"02-2020
",6062,-31.87733,115.90369,MORLEY SENIOR HIGH SCHOOL,1.9333180082156085,100
10 Hovea Crescent,Walliston,385000,4,1,1,1004,118,1986,20600,Madding,10200,"02-2009
",6076,-31.99667,116.07086,ST BRIGID'S COLLEGE,1.7728376128010286,99
10 Hubert Street,Guildford,675000,3,1,NULL,372,138,1897,12300,East Guildford Station,704,"07-2015
",6055,-31.90049,115.97451,GUILDFORD GRAMMAR SCHOOL,1.0006550511103547,52
10 Hugh Street,Guildford,710000,3,1,1,371,160,1900,12500,East Guildford Station,572,"08-2012
",6055,-31.89829,115.9745,GUILDFORD GRAMMAR SCHOOL,0.8433168270118845,52
10 Hynes Court,Huntingdale,436000,4,2,2,603,214,2001,17700,Thornlie Station,4400,"02-2018
",6110,-32.08679,115.95802,SOUTHERN RIVER COLLEGE,2.067914218855105,121
10 Hynes Way,Hamilton Hill,505000,4,2,2,751,139,1997,16500,Fremantle Station,5300,"08-2020
",6163,-32.08649,115.78399,PORT SCHOOL,0.6637975864063791,
10 Indiana Parade,Singleton,795000,4,2,2,809,225,2006,55900,Mandurah Station,9100,"03-2016
",6175,-32.4458,115.75238,COMET BAY COLLEGE,3.48209879260076,35
10 Indus Vista,Alkimos,355000,4,2,2,375,159,2015,39000,Butler Station,636,"07-2019
",6038,-31.62975052,115.6989111,BUTLER COLLEGE,2.6077395904663865,39
10 Instone Street,Hilton,507500,2,1,2,455,106,1977,15200,Fremantle Station,4200,"12-2015
",6163,-32.07333211,115.7830664,SETON CATHOLIC COLLEGE,0.9737914164314884,91
10 Iolanthe Street,Swanbourne,1170000,4,2,2,314,133,1994,9100,Swanbourne Station,909,"11-2014
",6010,-31.97537062,115.7661905,SCOTCH COLLEGE,0.9206281576768813,24
10 Irene Place,Beldon,520000,4,2,NULL,717,185,1991,21500,Edgewater Station,1400,"07-2020
",6027,-31.77652,115.7649,BELRIDGE SECONDARY COLLEGE,0.7017249348072432,102
10 Irvine Street,Peppermint Grove,2060000,3,1,2,1678,160,1935,10600,Cottesloe Station,421,"07-2016
",6011,-32.00002668,115.7627952,ST HILDA'S ANGLICAN SCHOOL FOR GIRLS,0.7319504235918052,2
10 Jackman Street,Willagee,670000,4,1,2,482,161,1962,11600,Bull Creek Station,4200,"05-2017
",6156,-32.04786234,115.8096135,MELVILLE SENIOR HIGH SCHOOL,0.42780054668350853,61
10 James Avenue,Hazelmere,490000,3,1,3,1399,144,1965,13700,Woodbridge Station,1100,"05-2015
",6055,-31.90153,115.99091,GUILDFORD GRAMMAR SCHOOL,1.1916531429593535,52
